unit,lang_a,lang_b,emoji,image_hint,definition
Französisch – Leçon 1: Au quotidien,chat,Katze,🐱,,Un petit animal domestique qui miaule et ronronne.
Französisch – Leçon 1: Au quotidien,maison,Haus,🏠,,Un bâtiment où une famille vit et habite.
Französisch – Leçon 1: Au quotidien,école,Schule,🏫,,Un endroit où les enfants vont pour apprendre.
Französisch – Leçon 1: Au quotidien,livre,Buch,📚,,Un objet avec des pages que l'on peut lire.
Französisch – Leçon 1: Au quotidien,voiture,Auto,🚗,,Un véhicule à quatre roues pour se déplacer.
Französisch – Leçon 1: Au quotidien,famille,Familie,👨‍👩‍👧‍👦,,Un groupe de personnes liées par le sang ou le mariage.
Französisch – Leçon 1: Au quotidien,ami,Freund,🤝,,Une personne avec qui on aime passer du temps.
Französisch – Leçon 1: Au quotidien,repas,Mahlzeit,🍽️,,La nourriture que l'on mange à un moment de la journée.
Französisch – Leçon 1: Au quotidien,jardin,Garten,🌸,,Un espace extérieur avec des plantes et des fleurs.
Französisch – Leçon 1: Au quotidien,fenêtre,Fenster,🪟,,Une ouverture dans un mur qui laisse entrer la lumière.
Französisch – Leçon 1: Au quotidien,musique,Musik,🎵,,L'art de combiner des sons pour créer une mélodie agréable.
Französisch – Leçon 1: Au quotidien,soleil,Sonne,☀️,,L'étoile au centre de notre système solaire.
