unit,lang_a,lang_b,emoji,image_hint,definition
Latein – Lektion 1: Grundwortschatz,aqua,Wasser,💧,,Das lebensnotwendige Element das aus Quellen und Flüssen kommt.
Latein – Lektion 1: Grundwortschatz,terra,Erde,🌍,,Der Boden und die Erde auf der wir leben und gehen.
Latein – Lektion 1: Grundwortschatz,sol,Sonne,☀️,,Der leuchtende Stern im Zentrum unseres Sonnensystems.
Latein – Lektion 1: Grundwortschatz,luna,Mond,🌙,,Der natürliche Satellit der die Erde umkreist.
Latein – Lektion 1: Grundwortschatz,vita,Leben,🌱,,Das Dasein und Erleben aller lebendigen Wesen.
Latein – Lektion 1: Grundwortschatz,pax,Frieden,🕊️,,Ein Zustand ohne Krieg oder Konflikt zwischen Menschen.
Latein – Lektion 1: Grundwortschatz,via,Weg / Straße,🛤️,,Ein Pfad oder eine Straße auf dem man geht oder fährt.
Latein – Lektion 1: Grundwortschatz,silva,Wald,🌲,,Ein großes Gebiet das dicht mit Bäumen bewachsen ist.
Latein – Lektion 1: Grundwortschatz,puella,Mädchen,👧,,Ein weibliches Kind oder eine junge weibliche Person.
Latein – Lektion 1: Grundwortschatz,puer,Junge,👦,,Ein männliches Kind oder ein junger männlicher Mensch.
Latein – Lektion 1: Grundwortschatz,nauta,Seemann / Matrose,⚓,,Ein Mann der auf einem Schiff arbeitet und das Meer befährt.
Latein – Lektion 1: Grundwortschatz,porta,Tor / Tür,🚪,,Eine Öffnung in einer Mauer oder einem Gebäude zum Durchgehen.
