unit,lang_a,lang_b,emoji,image_hint,definition
Englisch Kl.5 – Unit 1: Animals,cat,Katze,🐱,,A small furry pet that meows and purrs.
Englisch Kl.5 – Unit 1: Animals,dog,Hund,🐶,,A loyal four-legged pet that barks.
Englisch Kl.5 – Unit 1: Animals,butterfly,Schmetterling,🦋,,A flying insect with large colourful wings.
Englisch Kl.5 – Unit 1: Animals,horse,Pferd,🐴,,A large animal used for riding and farm work.
Englisch Kl.5 – Unit 1: Animals,elephant,Elefant,🐘,,The largest land animal with a long trunk.
Englisch Kl.5 – Unit 1: Animals,rabbit,Kaninchen,🐰,,A small furry animal with long ears that hops.
Englisch Kl.5 – Unit 1: Animals,shark,Hai,🦈,,A large predatory fish that lives in the sea.
Englisch Kl.5 – Unit 1: Animals,eagle,Adler,🦅,,A large bird of prey with sharp eyesight.
Englisch Kl.5 – Unit 1: Animals,whale,Wal,🐋,,The largest animal on Earth that lives in the ocean.
Englisch Kl.5 – Unit 1: Animals,fox,Fuchs,🦊,,A clever wild animal with a bushy tail and red fur.
Englisch Kl.5 – Unit 1: Animals,penguin,Pinguin,🐧,,A black and white bird that cannot fly but swims very well.
Englisch Kl.5 – Unit 1: Animals,tiger,Tiger,🐯,,A large wild cat with orange fur and black stripes.
