unit,lang_a,lang_b,emoji,image_hint,definition
Englisch Kl.7 – Unit 3: Emotions,happy,glücklich,😄,,Feeling pleased and full of joy about something.
Englisch Kl.7 – Unit 3: Emotions,jealous,eifersüchtig,😒,,Feeling unhappy and angry because someone has something you want.
Englisch Kl.7 – Unit 3: Emotions,frightened,verängstigt,😨,,Feeling very afraid or scared because of something threatening.
Englisch Kl.7 – Unit 3: Emotions,disappointed,enttäuscht,😞,,Feeling sad because something was not as good as you hoped.
Englisch Kl.7 – Unit 3: Emotions,excited,aufgeregt,🤩,,Feeling very enthusiastic and eager about something upcoming.
Englisch Kl.7 – Unit 3: Emotions,confused,verwirrt,😕,,Not able to think clearly or understand something properly.
Englisch Kl.7 – Unit 3: Emotions,proud,stolz,😤,,Feeling pleased about something you or others have done very well.
Englisch Kl.7 – Unit 3: Emotions,nervous,nervös,😰,,Feeling worried and anxious about something that might happen.
Englisch Kl.7 – Unit 3: Emotions,relieved,erleichtert,😅,,Feeling happy because a worry or problem has gone away.
Englisch Kl.7 – Unit 3: Emotions,embarrassed,peinlich berührt,😳,,Feeling uncomfortable and shy because of something awkward.
Englisch Kl.7 – Unit 3: Emotions,exhausted,erschöpft,😴,,Feeling extremely tired with no energy left at all.
Englisch Kl.7 – Unit 3: Emotions,furious,wütend,😡,,Feeling extremely angry about something that has happened.
