unit,lang_a,lang_b,emoji,image_hint,definition
Englisch Kl.6 – Unit 2: School,pencil,Bleistift,✏️,,A thin stick used for writing or drawing that can be erased.
Englisch Kl.6 – Unit 2: School,library,Bibliothek,📚,,A building where books are kept for people to borrow or read.
Englisch Kl.6 – Unit 2: School,homework,Hausaufgaben,📝,,Work that a teacher asks students to do at home.
Englisch Kl.6 – Unit 2: School,classroom,Klassenzimmer,🏫,,A room in a school where lessons take place.
Englisch Kl.6 – Unit 2: School,blackboard,Tafel,🖊️,,A dark board in a classroom used for writing with chalk.
Englisch Kl.6 – Unit 2: School,dictionary,Wörterbuch,📖,,A book that explains the meaning of words in a language.
Englisch Kl.6 – Unit 2: School,timetable,Stundenplan,📅,,A printed list showing when each school lesson takes place.
Englisch Kl.6 – Unit 2: School,university,Universität,🎓,,A place where students study for academic degrees after school.
Englisch Kl.6 – Unit 2: School,gymnasium,Turnhalle,🏋️,,A large room used for indoor sports and exercise.
Englisch Kl.6 – Unit 2: School,canteen,Kantine,🍽️,,A place in a school where students can buy and eat meals.
Englisch Kl.6 – Unit 2: School,principal,Schulleiter,👨‍💼,,The person who is in charge of running a school.
Englisch Kl.6 – Unit 2: School,examination,Prüfung,📋,,A formal test to measure a student's knowledge or skills.
